tweet_id,label,tweet
6.43E+17,0,user_mention all i can tell you is i have had few relapses on it it is not a cure i hear if you dont test for the jc virus tysabri is good
6.44E+17,0,my doctor told me stop he gave me sum pop i mix it up w some adderall and wait to get to the top i mix it up w some alcohol pour
8.15E+17,1,i take tylenol and i wake up in the middle of the night to put my ice pack on my belly and back for a couple of seconds so i can sleep
6.82E+17,0,i got xans in an advil bottle i dont take them shits but you do so i got em for you i dont need the pills im just gon have another drank
6.44E+17,1,mom says i need to stop eating so much bc ive gain a lot of weight lets see her be put on high dose prednisone an try not to eat crohns
6.41E+17,0,im bout to hop in the shower pop a seroquel an carry my ass to sleep cuz she had me up since sum in the morning an took all my strength
6.39E+17,1,my mess my im in pain he said grill for ambien can be right away maybe i can survive the horror and not die help me im trying to stay m
6.42E+17,1,i remember at tk i would try so hard to hang after i took my trazodone and carol would laugh me bc i would be falling asleep in my chair
6.47E+17,0,user_mention the shot for humira is easy just pop off one side then the next and push it into the area u dont even see the needle easy for them
8.03E+17,0,i told this boy at my school i had some xanax and he took it and was acting all high and fried but it was really a birth control pill
8.18E+17,0,min yoongi is the type to take ibuprofen to pick his up early morning to sleep but i still cant believe he was walking in a hospital for me url
6.42E+17,0,wow even just reading the lost files for lorien gets me so excited i cant wait to get my hands on the fate of ten the hype is so real
5.86E+17,1,one of the best feelings in the world is when your xanax kicks in so you dont feel like your going to die and your finally able to sit still
4.36E+17,1,i told bae i took a tylenol for my migraine so hopefully ill feel much better he said to just hug the bear he gave me so tight i will
6.41E+17,1,they gave me all this lortab and it wasnt strong enough so they had to shoot me up with morphine in my hips shows how much pain i was in
6.46E+17,1,ive been off zoloft for a month and all i do is cry and get mad so its either that or feel like a zombie or be dead tough choice
6.44E+17,0,i broke my glasses about a month ago and thankfully i had my spare but now i have no idea where the hell it is and had to borrow ibus
5.75E+17,0,if you have to pop a xanax pill every day every other day or every two days just for the hell of it you are a drug addict no excuses
8.13E+17,1,this is why i cant have caffeine even just a little bit i took one advil that for some reason has a little caffeine in it i am fcked up
6.41E+17,0,so i took some adderall earlier thinking i was going to be up studying all night i know all of this info now so how am i going to sleep
8.03E+17,0,i gave my coworker half of a vitamin d pill and told her it was xanax and shes telling me how much better she feels and how calm she is
7.41E+17,0,my son is teething i dont know what to do about it i really dont want to give him tylenol but they say thats the only way to help him
6.39E+17,0,they said quit it with the xanax you gon die i said when i finally do dont cry even if its hard i enjoyed every last bit of that bar
4.34E+17,0,so i just read an article that tylenol while pregnant can lead to autism in a child well the one thing i was told i can take i guess isnt
4.85E+17,0,why do people expect me to be embarrassed of my dad yes he is a big guy but you wouldnt even know that he was on steroids many years ago
5.47E+17,1,i never take nothin i can b in my death bed n refuse meds but i just took extra strength tylenol bc my head hurts so bad i cant explain
6.43E+17,0,a jet is coming to cleveland and there may or may not be boys on it but probably not but either way i am unstable and i need a xanax
6.43E+17,0,my doctor put me on prozac and i feel very indifferent and if i tell my mom shell just tell me thats how im supposed to feel but its not
6.42E+17,1,so my dr increased my xanax dosage and im supposed to take one half and the other but i jut took both at and now i feel like lead
6.45E+17,0,trying not to dwell on past but it makes me mad cns said no xanax last time if were made worse to see for themselves we dont get better
7.99E+17,1,i am fairly certain my combo of trump ibuprofen kids and wine has me on my way to an ulcer the spicy food sunday put me over the edge
6.51E+17,0,mom yes yes i fed him yes i bathed him yes he got his tylenol the doctor said hes ok yes his medicine will be given to him at
4.46E+17,0,i like guys that have muscle and work out but those who take so many steroid and get a tan and my waist is bigger than theres is gross
6.43E+17,0,i walked in my front door and i still feel really sick im just gonna chug water and take a valium im sorry guys i feel like a dick
8.05E+17,1,tonight is the first time in over a year i have needed a xanax for my anxiety im proud for coping for so long but feel so defeated too
7.81E+17,0,ava has a fever and keeps telling me she needs her socks and pants she needs to go to sleep in this onesie and let this motrin kick in
6.52E+17,0,please sit down if your just going to say tylenol like im a complete idiot and dont know thats one of the only things i know i can take
6.44E+17,0,my doctor told me to stop and he gave me something to pop and i mix it up with some adderalls and i wait to get to the top
6.41E+17,0,i just realized i could go back on lyrica since ive met my copay deductible but its hard to tell if itd be worth it it still may be
6.40E+17,0,after i had surgery on my feet i was in so much pain and all she gave me was panadol because she didnt like that i was prescribed morphine
5.17E+17,0,user_mention watch them btw there steroids dunc was on them for a chest infection nd he was high as a kite when he came off them i had to
6.37E+17,0,i asked her to please hold onto my xanax sleeping pills for the night just so they werent in my room and she just told me to flush them
6.44E+17,1,my doctor wanted to up my zoloft but instead ive been taking a little less yes im sad but at least i can feel emotions like a human being
6.38E+17,0,dude just came to the er asking for steroids i said u in pain or said naw im tryna get big i said big like swole he said yea
6.80E+17,0,my mom said if i get out on steroids aint no coming back i might as well accept being fat not me i refuse not to keep my snapback
7.07E+17,1,user_mention my doc said for me to take a xanax a day i take a pill like it helps stops ur heart from racing and takes the edge off
4.76E+17,0,i am in desperate need of a home remedy for poison ivy i cant get a steroid shot since i am pregnant and this stuff is driving me crazy
3.72E+17,1,day i woke up with worse jaw pain today i ran out of my pain med norco and i just took tylenol cant wait until its all healed up
6.40E+17,1,took xanax for the road bc i get car sick anxious all jokes aside i thought i just saw someone flying next to the car what have i done
6.41E+17,1,paxil just isnt working is a part of it and my anxiety is peaking so badly doing normal person stuff some days all i can do is stay home
7.34E+17,1,my sister told me to take three ibuprofen i did that headache i had was the devil i cant even eat my haitian food my head hurt so bad
6.44E+17,1,my mom is trying to argue about the holidays rn im trying to convey valid thoughts but i took an ambien an hr ago i sound like a potato
7.64E+17,0,matt took a tylenol pm last night and it made me sleep like crap he was up all night at one point he said i just want a pony
6.42E+17,0,user_mention xanax to calm my anxiety down considering i had a panic attack in my car that i even hung up the phone on dre to not worry him
6.40E+17,0,so im having to force my voice as hard as i can just to be heard at a whisper really was hoping the prednisone would help but it doesnt
6.48E+17,1,ok i take back what i said about tramadol it makes me fuzzy which is great but doesnt do shit to help my actual pain wtf is this nonsense
6.45E+17,1,user_mention good luck its hit or miss never know if it will hurt or not but i have up in thigh so humira in belly and mtx in thigh
6.39E+17,0,i need a pill cutter so when people walk into my office and im using a butter knife to break up my klonopin i dont look like drug addict
